pick_id,season,week,game,rule,market,side,bet_home,open_num,close_num,edge,confluence,reg_edge,mammoth,away_ab,home_ab,actual_margin,actual_total,win,clv_pts,roi_u
2023-W01-CAR@ATL-S,2023,1,CAR@ATL,sides_model,spread,CAR +3.5,0,-3.5,-3.5,-0.201,1.0,-1.95,0,CAR,ATL,14,34,0.0,0.0,-1.0
2023-W01-CAR@ATL-W1U,2023,1,CAR@ATL,week1_def_under,total,UNDER 40,-2,40.0,40.5,-1.9,,,0,CAR,ATL,14,34,1.0,-0.5,0.9090909090909091
2023-W01-HOU@BAL-S,2023,1,HOU@BAL,sides_model,spread,HOU +10,0,-10.0,-10.0,-0.292,1.0,-9.69,0,HOU,BAL,16,34,0.0,0.0,-1.0
2023-W01-GB@CHI-S,2023,1,GB@CHI,sides_model,spread,GB +1,0,-1.0,-1.0,-0.061,1.0,-2.64,0,GB,CHI,-18,58,1.0,0.0,0.9090909090909091
2023-W01-GB@CHI-W1U,2023,1,GB@CHI,week1_def_under,total,UNDER 43.5,-2,43.5,41.0,-1.5,,,0,GB,CHI,-18,58,0.0,2.5,-1.0
2023-W01-GB@CHI-BBU,2023,1,GB@CHI,bot_vs_bot_under,total,UNDER 43.5,-2,43.5,41.0,43.5,,,0,GB,CHI,-18,58,0.0,2.5,-1.0
2023-W01-CIN@CLE-S,2023,1,CIN@CLE,sides_model,spread,CIN -2.5,0,2.5,0.0,-0.104,0.0,2.49,0,CIN,CLE,21,27,0.0,-2.5,-1.0
2023-W01-LV@DEN-S,2023,1,LV@DEN,sides_model,spread,LV +4,0,-4.0,-3.0,-0.121,1.0,-4.88,0,LV,DEN,-1,33,1.0,1.0,0.9090909090909091
2023-W01-JAX@IND-S,2023,1,JAX@IND,sides_model,spread,IND +4.5,1,4.5,3.5,0.121,1.0,8.88,0,JAX,IND,-10,52,0.0,1.0,-1.0
2023-W01-DET@KC-S,2023,1,DET@KC,sides_model,spread,DET +6.5,0,-6.5,-4.0,-0.243,1.0,-5.0,0,DET,KC,-1,41,1.0,2.5,0.9090909090909091
2023-W01-TB@MIN-S,2023,1,TB@MIN,sides_model,spread,TB +6,0,-6.0,-4.0,-0.234,1.0,-1.61,0,TB,MIN,-3,37,1.0,2.0,0.9090909090909091
2023-W01-PHI@NE-S,2023,1,PHI@NE,sides_model,spread,PHI -3.5,0,3.5,3.5,-0.067,0.0,3.87,0,PHI,NE,-5,45,1.0,0.0,0.9090909090909091
2023-W01-TEN@NO-W1U,2023,1,TEN@NO,week1_def_under,total,UNDER 41,-2,41.0,41.5,-4.1,,,0,TEN,NO,1,31,1.0,-0.5,0.9090909090909091
2023-W01-DAL@NYG-S,2023,1,DAL@NYG,sides_model,spread,NYG +3.5,1,3.5,3.0,0.113,1.0,3.58,0,DAL,NYG,-40,40,0.0,0.5,-1.0
2023-W01-BUF@NYJ-S,2023,1,BUF@NYJ,sides_model,spread,NYJ +2.5,1,2.5,2.5,0.105,0.0,0.99,0,BUF,NYJ,6,38,1.0,0.0,0.9090909090909091
2023-W01-BUF@NYJ-W1U,2023,1,BUF@NYJ,week1_def_under,total,UNDER 46.5,-2,46.5,44.5,-6.4,,,0,BUF,NYJ,6,38,1.0,2.0,0.9090909090909091
2023-W01-BUF@NYJ-PTF,2023,1,BUF@NYJ,primetime_tight_favorite,spread,BUF -2.5,0,2.5,2.5,2.5,,,0,BUF,NYJ,6,38,0.0,0.0,-1.0
2023-W01-BUF@NYJ-PTU,2023,1,BUF@NYJ,primetime_tight_under,total,UNDER 46.5,-2,46.5,44.5,46.5,,,0,BUF,NYJ,6,38,1.0,2.0,0.9090909090909091
2023-W01-BUF@NYJ-TTH,2023,1,BUF@NYJ,top_vs_top_pt_home,spread,NYJ +2.5,1,2.5,2.5,0.0,,,0,BUF,NYJ,6,38,1.0,0.0,0.9090909090909091
2023-W01-SF@PIT-S,2023,1,SF@PIT,sides_model,spread,SF -2.5,0,2.5,2.0,-0.083,1.0,-4.75,0,SF,PIT,-23,37,1.0,-0.5,0.9090909090909091
2023-W01-SF@PIT-W1U,2023,1,SF@PIT,week1_def_under,total,UNDER 40.75,-2,40.75,41.5,-3.6,,,0,SF,PIT,-23,37,1.0,-0.75,0.9090909090909091
2023-W01-LAR@SEA-S,2023,1,LAR@SEA,sides_model,spread,LAR +5.25,0,-5.25,-4.5,-0.067,0.0,0.26,0,LAR,SEA,-17,43,1.0,0.75,0.9090909090909091
2023-W01-ARI@WAS-S,2023,1,ARI@WAS,sides_model,spread,WAS -7,1,-7.0,-7.0,0.097,0.0,-0.28,0,ARI,WAS,4,36,0.0,0.0,-1.0
2023-W02-NYG@ARI-S,2023,2,NYG@ARI,sides_model,spread,NYG -4.5,0,4.5,4.5,-0.101,0.0,7.15,0,NYG,ARI,-3,59,0.0,0.0,-1.0
2023-W02-NYG@ARI-SDFA,2023,2,NYG@ARI,spread_dog_cover_fade_away,spread,NYG -4.5,0,4.5,4.5,40.0,,,0,NYG,ARI,-3,59,0.0,0.0,-1.0
2023-W02-GB@ATL-TSML,2023,2,GB@ATL,tight_soft_ml_fade_home,spread,GB +1.5,0,-1.5,-3.0,5.4,,,0,GB,ATL,1,49,1.0,-1.5,0.9090909090909091
2023-W02-LV@BUF-S,2023,2,LV@BUF,sides_model,spread,LV +8.75,0,-8.75,-7.5,-0.193,1.0,-3.6,0,LV,BUF,28,48,0.0,1.25,-1.0
2023-W02-LV@BUF-LLO,2023,2,LV@BUF,total_low_line_over,total,OVER 47.5,-1,47.5,47.0,-10.5,,,0,LV,BUF,28,48,1.0,-0.5,0.9090909090909091
2023-W02-LV@BUF-SDFH,2023,2,LV@BUF,spread_dog_cover_fade_home,spread,BUF -8.75,1,-8.75,-7.5,12.5,,,0,LV,BUF,28,48,1.0,-1.25,0.9090909090909091
2023-W02-NO@CAR-PTF,2023,2,NO@CAR,primetime_tight_favorite,spread,NO -1.5,0,1.5,3.0,1.5,,,0,NO,CAR,-3,37,1.0,1.5,0.9090909090909091
2023-W02-NO@CAR-PTU,2023,2,NO@CAR,primetime_tight_under,total,UNDER 40.5,-2,40.5,39.5,40.5,,,0,NO,CAR,-3,37,1.0,1.0,0.9090909090909091
2023-W02-BAL@CIN-S,2023,2,BAL@CIN,sides_model,spread,BAL +3,0,-3.0,-3.5,-0.218,1.0,-4.21,0,BAL,CIN,-3,51,1.0,-0.5,0.9090909090909091
2023-W02-BAL@CIN-LLO,2023,2,BAL@CIN,total_low_line_over,total,OVER 47,-1,47.0,45.5,-23.0,,,0,BAL,CIN,-3,51,1.0,-1.5,0.9090909090909091
2023-W02-BAL@CIN-SDFH,2023,2,BAL@CIN,spread_dog_cover_fade_home,spread,CIN -3,1,-3.0,-3.5,30.0,,,0,BAL,CIN,-3,51,0.0,0.5,-1.0
2023-W02-WAS@DEN-S,2023,2,WAS@DEN,sides_model,spread,DEN -3.5,1,-3.5,-3.5,0.061,0.0,-0.36,0,WAS,DEN,-2,68,0.0,0.0,-1.0
2023-W02-SEA@DET-S,2023,2,SEA@DET,sides_model,spread,SEA +3,0,-3.0,-4.5,-0.181,0.0,2.81,0,SEA,DET,-6,68,1.0,-1.5,0.9090909090909091
2023-W02-SEA@DET-LLO,2023,2,SEA@DET,total_low_line_over,total,OVER 51,-1,51.0,47.0,-15.0,,,0,SEA,DET,-6,68,1.0,-4.0,0.9090909090909091
2023-W02-IND@HOU-S,2023,2,IND@HOU,sides_model,spread,IND +1,0,-1.0,-0.5,-0.149,0.0,0.69,0,IND,HOU,-11,51,1.0,0.5,0.9090909090909091
